cifar10_acc;cifar101_acc;stl_acc;num_epochs;lr;momentum
0.6826;0.557;0.5113333333333333;20;0.1;0.9
0.9068;0.8205;0.68;20;0.01;0.9
0.9327;0.8545;0.7093333333333334;20;0.001;0.9
0.936;0.8615;0.8231111111111111;20;0.0001;0.9
0.9348;0.8595;0.8204444444444444;20;1e-05;0.9
