cifar10_acc;cifar101_acc;stl_acc;num_epochs;lr;momentum
0.8299;0.725;0.488;20;0.1;0.9
0.8583;0.756;0.5446666666666666;20;0.01;0.9
0.8587;0.75651;0.5451111111111111;20;0.001;0.9
0.8587;0.75652;0.54488888888888891;20;0.0001;0.9
0.8587;0.75653;0.5448888888888889;20;1e-05;0.9
