cifar10_acc;cifar101_acc;stl_acc;num_epochs;lr;momentum
0.1012;0.1015;0.11266666666666666;20;1e-05;0.9
0.2442;0.1955;0.31355555555555553;20;0.0001;0.9
0.6133;0.5105;0.5088888888888888;20;0.001;0.9
0.6735;0.55;0.6124444444444445;20;0.01;0.9
0.7662;0.627;0.774;20;0.1;0.9
